Date,Close,Open,High,Low
2014-06-23,1962.61,1962.92,1963.74,1958.89
2014-06-24,1949.98,1961.97,1968.17,1948.34
2014-06-25,1959.53,1949.27,1960.83,1947.49
2014-06-26,1957.22,1959.89,1959.89,1944.69
2014-06-27,1960.96,1956.56,1961.47,1952.18
2014-06-30,1960.23,1960.79,1964.24,1958.22
2014-07-01,1973.32,1962.29,1978.58,1962.29
2014-07-02,1974.62,1973.06,1976.67,1972.58
2014-07-03,1985.44,1975.88,1985.59,1975.88
2014-07-07,1977.65,1984.22,1984.22,1974.88
2014-07-08,1963.71,1976.39,1976.39,1959.46
2014-07-09,1972.83,1965.1,1974.15,1965.1
2014-07-10,1964.68,1966.67,1969.84,1952.86
2014-07-11,1967.57,1965.76,1968.67,1959.63
2014-07-14,1977.1,1969.86,1979.85,1969.86
2014-07-15,1973.28,1977.36,1982.52,1965.34
2014-07-16,1981.57,1976.35,1983.94,1975.67
2014-07-17,1958.12,1979.75,1981.8,1955.59
2014-07-18,1978.22,1961.54,1979.91,1960.82
2014-07-21,1973.63,1976.93,1976.93,1965.77
2014-07-22,1983.53,1975.65,1986.24,1975.65
2014-07-23,1987.01,1985.32,1989.23,1982.44
2014-07-24,1987.98,1988.07,1991.39,1985.79
2014-07-25,1978.34,1984.6,1984.6,1974.37
2014-07-28,1978.91,1978.25,1981.52,1967.31
2014-07-29,1969.95,1980.03,1984.85,1969.95
2014-07-30,1970.07,1973.21,1978.9,1962.42
2014-07-31,1930.67,1965.14,1965.14,1930.67
2014-08-01,1925.15,1929.8,1937.35,1916.37
2014-08-04,1938.99,1926.62,1942.92,1921.2
2014-08-05,1920.21,1936.34,1936.34,1913.77
2014-08-06,1920.24,1917.29,1927.91,1911.45
2014-08-07,1909.57,1923.03,1928.89,1904.78
2014-08-08,1931.59,1910.35,1932.38,1909.01
2014-08-11,1936.92,1933.43,1944.9,1933.43
2014-08-12,1933.75,1935.73,1939.65,1928.29
2014-08-13,1946.72,1935.6,1948.41,1935.6
2014-08-14,1955.18,1947.41,1955.23,1947.41
2014-08-15,1955.06,1958.87,1964.04,1941.5
2014-08-18,1971.74,1958.36,1971.99,1958.36
2014-08-19,1981.6,1972.73,1982.57,1972.73
2014-08-20,1986.51,1980.46,1988.57,1977.68
2014-08-21,1992.37,1986.82,1994.76,1986.82
2014-08-22,1988.4,1992.6,1993.54,1984.76
2014-08-25,1997.92,1991.74,2001.95,1991.74
2014-08-26,2000.02,1998.59,2005.04,1998.59
2014-08-27,2000.12,2000.54,2002.14,1996.2
2014-08-28,1996.74,1997.42,1998.55,1990.52
2014-08-29,2003.37,1998.45,2003.38,1994.65
2014-09-02,2002.28,2004.07,2006.12,1994.85
